Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Item_Category,Visibility_MeanRatio,Outlet_Location_Score,High_MRP_Flag
FDS21,19.85,Regular,0.020858779,Snack Foods,62.8194,OUT013,1987,High,Tier 3,Supermarket Type1,928.791,26,FD,0.29713925841815914,3,0
DRF23,4.61,Low Fat,0.123346085,Hard Drinks,172.5396,OUT017,2007,Small,Tier 2,Supermarket Type1,3663.2316,6,DR,1.7571001747361732,2,1
FDM46,7.365,Low Fat,0.159937597,Snack Foods,93.912,OUT035,2004,Small,Tier 2,Supermarket Type1,1304.968,9,FD,2.2783567037055423,2,0
DRG49,7.81,Low Fat,0.067128641,Soft Drinks,242.8486,OUT027,1985,Medium,Tier 3,Supermarket Type3,3420.8804,28,DR,0.956266644627609,3,1
FDG26,18.85,Low Fat,0.042736348,Canned,255.933,OUT045,2002,Small,Tier 2,Supermarket Type1,3844.995,11,FD,0.60879147107414,2,1
FDR51,9.035,Regular,0.172629683,Meat,148.4708,OUT027,1985,Medium,Tier 3,Supermarket Type3,3761.77,28,FD,2.459159090164477,3,1
FDV39,11.3,Low Fat,0.007278512,Meat,196.7426,OUT035,2004,Small,Tier 2,Supermarket Type1,2768.3964,9,FD,0.10368448019261685,2,1
FDC39,7.405,Low Fat,0.15911413600000002,Dairy,205.7296,OUT017,2007,Small,Tier 2,Supermarket Type1,4570.0512,6,FD,2.266626266805268,2,1
FDP45,15.7,Regular,0.03079807,Snack Foods,252.9724,OUT017,2007,Small,Tier 2,Supermarket Type1,3020.0688,6,FD,0.43872729465663135,2,1
FDC56,7.72,Low Fat,0.12152072,Fruits and Vegetables,118.244,OUT046,1997,Small,Tier 1,Supermarket Type1,958.752,16,FD,1.7310973294861007,1,0
FDK38,6.65,Low Fat,0.053591345,Canned,149.7734,OUT017,2007,Small,Tier 2,Supermarket Type1,2375.5744,6,FD,0.7634240005578332,2,1
NCJ29,10.6,Low Fat,0.035163639,Health and Hygiene,84.4224,OUT013,1987,High,Tier 3,Supermarket Type1,852.224,26,NC,0.5009160706743121,3,0
NCF19,13.0,Low Fat,0.061470858,Household,48.6034,OUT019,1985,Small,Tier 1,Grocery Store,145.8102,28,NC,0.8756699114769837,1,0
FDG59,15.85,Low Fat,0.043226398,Starchy Foods,37.5164,OUT035,2004,Small,Tier 2,Supermarket Type1,270.3148,9,FD,0.6157723731484089,2,0
FDE59,12.15,Low Fat,0.062640143,Starchy Foods,36.6532,OUT017,2007,Small,Tier 2,Supermarket Type1,251.6724,6,FD,0.8923267099300223,2,0
FDB04,11.35,Regular,0.06358394,Dairy,89.4856,OUT017,2007,Small,Tier 2,Supermarket Type1,1142.5128,6,FD,0.9057713674853513,2,0
NCK05,20.1,Low Fat,0.077389797,Health and Hygiene,60.8536,OUT013,1987,High,Tier 3,Supermarket Type1,1347.5792,26,NC,1.1024397396277066,3,0
FDR03,15.7,Regular,0.00878535,Meat,204.998,OUT017,2007,Small,Tier 2,Supermarket Type1,5366.348,6,FD,0.12514981744348386,2,1
FDQ03,15.0,Regular,0.136592891,Meat,238.0248,OUT019,1985,Small,Tier 1,Grocery Store,711.0744,28,FD,1.9458047058714434,1,1
FDC59,16.7,Regular,0.054937907,Starchy Foods,64.2168,OUT017,2007,Small,Tier 2,Supermarket Type1,1661.8368,6,FD,0.7826061604577044,2,0
DRB13,6.115,Regular,0.007084185,Soft Drinks,191.153,OUT017,2007,Small,Tier 2,Supermarket Type1,3415.554,6,DR,0.10091623663096706,2,1
NCE54,20.7,Low Fat,0.027052013,Household,73.9354,OUT017,2007,Small,Tier 2,Supermarket Type1,1655.1788,6,NC,0.38536364384216354,2,0
FDC10,9.8,Regular,0.072863893,Snack Foods,118.6098,OUT035,2004,Small,Tier 2,Supermarket Type1,843.5686,9,FD,1.0379669457871956,2,0
FDR46,16.85,Low Fat,0.244102315,Snack Foods,148.076,OUT019,1985,Small,Tier 1,Grocery Store,146.476,28,FD,3.4773071260429904,1,1
FDA10,20.35,Low Fat,0.141789197,Snack Foods,121.9072,OUT035,2004,Small,Tier 2,Supermarket Type1,1347.5792,9,FD,2.019827567485435,2,0
FDP23,6.71,Low Fat,0.035414528,Breads,218.2166,OUT027,1985,Medium,Tier 3,Supermarket Type3,3701.1822,28,FD,0.5044900560646015,3,1
FDJ41,6.85,Low Fat,0.022864238,Frozen Foods,260.0594,OUT013,1987,High,Tier 3,Supermarket Type1,6018.1662,26,FD,0.3257075940838289,3,1
FDL46,20.35,Low Fat,0.054011943,Snack Foods,116.5466,OUT013,1987,High,Tier 3,Supermarket Type1,1885.5456,26,FD,0.7694155390756037,3,0
FDX33,9.195,Regular,0.117462619,Snack Foods,158.9578,OUT035,2004,Small,Tier 2,Supermarket Type1,2246.4092,9,FD,1.6732885228571994,2,1
NCL29,9.695,Low Fat,0.11411658,Health and Hygiene,158.8604,OUT049,1999,Medium,Tier 1,Supermarket Type1,4436.8912,14,NC,1.6256232425884818,1,1
FDE16,8.895,Low Fat,0.046124444,Frozen Foods,206.7954,OUT019,1985,Small,Tier 1,Grocery Store,833.5816,28,FD,0.6570558653078356,1,1
FDM57,11.65,Regular,0.075849167,Snack Foods,85.1908,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.1608,16,FD,1.0804930256950853,1,0
FDZ36,6.035,Regular,0.065729039,Baking Goods,188.324,OUT013,1987,High,Tier 3,Supermarket Type1,1491.392,26,FD,0.9363289147940185,3,1
NCW42,18.2,Low Fat,0.097865088,Household,221.8456,OUT010,1998,Small,Tier 3,Grocery Store,884.1824,15,NC,1.3941161020665631,3,1
NCI54,15.2,Low Fat,0.058827583,Household,110.4912,OUT019,1985,Small,Tier 1,Grocery Store,436.7648,28,NC,0.8380157049054839,1,0
DRK01,7.63,Low Fat,0.061313057,Soft Drinks,93.3436,OUT018,2009,Medium,Tier 3,Supermarket Type2,1323.6104,4,DR,0.8734219912071709,3,0
FDX10,6.385,Regular,0.123961415,Snack Foods,33.2874,OUT045,2002,Small,Tier 2,Supermarket Type1,141.1496,11,FD,1.7658657261561508,2,0
FDO46,9.6,Regular,0.014270394,Snack Foods,187.3872,OUT018,2009,Medium,Tier 3,Supermarket Type2,2647.2208,4,FD,0.20328583425208865,3,1
FDD16,20.5,Low Fat,0.060847634,Frozen Foods,75.0696,OUT010,1998,Small,Tier 3,Grocery Store,149.1392,15,FD,0.8667919077746384,3,0
FDZ20,16.1,Low Fat,0.034333631,Fruits and Vegetables,253.0356,OUT027,1985,Medium,Tier 3,Supermarket Type3,11445.102,28,FD,0.4890923698910047,3,1
NCI18,18.35,Low Fat,0.014103354,Household,225.4746,OUT017,2007,Small,Tier 2,Supermarket Type1,1346.2476,6,NC,0.20090630179114408,2,1
DRI25,19.6,Low Fat,0.033901442,Soft Drinks,56.2614,OUT046,1997,Small,Tier 1,Supermarket Type1,773.6596,16,DR,0.4829357142710143,1,0
FDY44,14.15,Regular,0.024454052,Fruits and Vegetables,197.211,OUT045,2002,Small,Tier 2,Supermarket Type1,3731.809,11,FD,0.34835494812995055,2,1
FDW38,5.325,Regular,0.138679995,Dairy,55.9298,OUT019,1985,Small,Tier 1,Grocery Store,107.8596,28,FD,1.9755360978575982,1,0
FDY33,14.5,Regular,0.096730427,Snack Foods,159.0262,OUT027,1985,Medium,Tier 3,Supermarket Type3,5887.6694,28,FD,1.3779525323726702,3,1
DRH51,17.6,Low Fat,0.097198194,Dairy,89.8856,OUT035,2004,Small,Tier 2,Supermarket Type1,351.5424,9,DR,1.3846160067540083,2,0
FDT32,19.0,Regular,0.066005186,Fruits and Vegetables,188.4214,OUT017,2007,Small,Tier 2,Supermarket Type1,2826.321,6,FD,0.9402627076010852,2,1
FDI50,8.42,Regular,0.030890618,Canned,228.7352,OUT049,1999,Medium,Tier 1,Supermarket Type1,5954.9152,14,FD,0.44004566732303163,1,1
FDB60,9.3,Low Fat,0.028498354,Baking Goods,195.8136,OUT013,1987,High,Tier 3,Supermarket Type1,2332.9632,26,FD,0.40596718406663107,3,1
FDP09,19.75,Low Fat,0.033883448,Snack Foods,213.2902,OUT035,2004,Small,Tier 2,Supermarket Type1,4247.804,9,FD,0.48267938460684856,2,1
FDA20,6.78,Low Fat,0.066565644,Fruits and Vegetables,185.324,OUT013,1987,High,Tier 3,Supermarket Type1,3914.904,26,FD,0.948246591724625,3,1
NCX05,15.2,Low Fat,0.169943195,Health and Hygiene,116.2492,OUT019,1985,Small,Tier 1,Grocery Store,115.8492,28,NC,2.4208893020781614,1,0
DRF37,17.25,Low Fat,0.08428957449999999,Soft Drinks,263.591,OUT045,2002,Small,Tier 2,Supermarket Type1,788.973,11,DR,1.2007290388048204,2,1
FDJ26,15.3,Regular,0.084765192,Canned,215.0218,OUT046,1997,Small,Tier 1,Supermarket Type1,1923.4962,16,FD,1.2075043457986143,1,1
FDZ25,15.7,Regular,0.027617046,Canned,168.279,OUT046,1997,Small,Tier 1,Supermarket Type1,4074.696,16,FD,0.3934127001460722,1,1
FDZ58,17.85,Low Fat,0.052166995,Snack Foods,121.7072,OUT035,2004,Small,Tier 2,Supermarket Type1,2817.6656,9,FD,0.7431337284029815,2,0
FDZ50,12.8,Regular,0.0397618095,Dairy,184.2608,OUT027,1985,Medium,Tier 3,Supermarket Type3,6064.1064,28,FD,0.5664183214268733,3,1
NCG18,15.3,Low Fat,0.038460297,Household,104.0332,OUT010,1998,Small,Tier 3,Grocery Store,205.0664,15,NC,0.54787790450832,3,0
FDZ56,16.25,Low Fat,0.025789175,Fruits and Vegetables,166.9474,OUT045,2002,Small,Tier 2,Supermarket Type1,2863.6058,11,FD,0.36737415621097136,2,1
FDH50,15.0,Regular,0.161301097,Canned,185.1266,OUT013,1987,High,Tier 3,Supermarket Type1,2213.1192,26,FD,2.2977801502482746,3,1
DRO35,13.85,Low Fat,0.034640466,Hard Drinks,116.1492,OUT045,2002,Small,Tier 2,Supermarket Type1,1274.3412,11,DR,0.49346332201417237,2,0
DRH51,17.6,Low Fat,0.097198194,Dairy,89.1856,OUT027,1985,Medium,Tier 3,Supermarket Type3,2109.2544,28,DR,1.3846160067540083,3,0
FDS19,13.8,Regular,0.064307102,Fruits and Vegetables,77.3012,OUT049,1999,Medium,Tier 1,Supermarket Type1,1593.9252,14,FD,0.9160730165126597,1,0
NCM06,7.475,Low Fat,0.076036381,Household,153.9656,OUT018,2009,Medium,Tier 3,Supermarket Type2,2625.9152,4,NC,1.0831599425422076,3,1
FDP52,18.7,Regular,0.071091591,Frozen Foods,228.601,OUT017,2007,Small,Tier 2,Supermarket Type1,4823.721,6,FD,1.012719998112405,2,1
FDK02,12.5,Low Fat,0.187841082,Canned,119.244,OUT010,1998,Small,Tier 3,Grocery Store,119.844,15,FD,2.6758498091352623,3,0
FDG59,15.85,Low Fat,0.043234574,Starchy Foods,38.3164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296,16,FD,0.6158888426012387,1,0
FDN20,19.35,Low Fat,0.026055106,Fruits and Vegetables,169.5474,OUT027,1985,Medium,Tier 3,Supermarket Type3,4211.185,28,FD,0.37116241918314247,3,1
FDO57,20.75,Low Fat,0.109153001,Snack Foods,161.3578,OUT018,2009,Medium,Tier 3,Supermarket Type2,4492.8184,4,FD,1.5549156434926792,3,1
NCJ30,5.82,Low Fat,0.08062523,Household,168.379,OUT035,2004,Small,Tier 2,Supermarket Type1,1188.453,9,NC,1.1485294058675974,2,1
FDQ31,5.785,Regular,0.0901292,Fruits and Vegetables,89.8856,OUT010,1998,Small,Tier 3,Grocery Store,175.7712,15,FD,1.2839161702524367,3,0
FDC05,13.1,Regular,0.098938169,Frozen Foods,195.7768,OUT049,1999,Medium,Tier 1,Supermarket Type1,4138.6128,14,FD,1.409402447090048,1,1
FDM08,10.1,Regular,0.053667516,Fruits and Vegetables,225.1088,OUT013,1987,High,Tier 3,Supermarket Type1,3579.3408,26,FD,0.7645090781864408,3,1
NCA41,16.75,Low Fat,0.032580547,Health and Hygiene,192.1162,OUT035,2004,Small,Tier 2,Supermarket Type1,3848.324,9,NC,0.46411918810961944,2,1
FDK15,10.8,Low Fat,0.097937252,Meat,98.9042,OUT027,1985,Medium,Tier 3,Supermarket Type3,4960.21,28,FD,1.3951440988368673,3,0
FDX56,17.1,Regular,0.0740286585,Fruits and Vegetables,208.5638,OUT049,1999,Medium,Tier 1,Supermarket Type1,5383.6588,14,FD,1.054559362673201,1,1
FDT21,7.42,Low Fat,0.020391845,Snack Foods,248.9092,OUT046,1997,Small,Tier 1,Supermarket Type1,2241.0828,16,FD,0.2904876503594983,1,1
FDQ46,7.51,Low Fat,0.103813029,Snack Foods,113.7544,OUT046,1997,Small,Tier 1,Supermarket Type1,671.1264,16,FD,1.4788462187169655,1,0
FDS01,11.6,Low Fat,0.031069203,Canned,179.6686,OUT019,1985,Small,Tier 1,Grocery Store,177.7686,28,FD,0.44258966160307106,1,1
FDW34,9.6,Low Fat,0.062294473,Snack Foods,242.417,OUT019,1985,Small,Tier 1,Grocery Store,486.034,28,FD,0.8874025421511986,1,1
FDX07,19.2,Regular,0.022914478,Fruits and Vegetables,181.195,OUT035,2004,Small,Tier 2,Supermarket Type1,2380.235,9,FD,0.326423277218634,2,1
FDN13,18.6,Low Fat,0.152058281,Breakfast,99.9358,OUT046,1997,Small,Tier 1,Supermarket Type1,201.0716,16,FD,2.1661135991076015,1,0
NCP02,7.105,Low Fat,0.044991294,Household,59.2562,OUT018,2009,Medium,Tier 3,Supermarket Type2,651.8182,4,NC,0.6409138202400713,3,0
FDT48,4.92,Low Fat,0.046214971,Baking Goods,199.8084,OUT017,2007,Small,Tier 2,Supermarket Type1,3968.168,6,FD,0.6583454482525909,2,1
FDZ49,11.0,Regular,0.13312044,Canned,221.5798,OUT035,2004,Small,Tier 2,Supermarket Type1,4187.2162,9,FD,1.896338650594028,2,1
NCJ17,7.68,Low Fat,0.255348289,Health and Hygiene,84.4224,OUT010,1998,Small,Tier 3,Grocery Store,170.4448,15,NC,3.637509234447797,3,0
FDB17,13.15,Low Fat,0.036879539,Frozen Foods,181.3976,OUT017,2007,Small,Tier 2,Supermarket Type1,3078.6592,6,FD,0.5253595557661155,2,1
FDP48,7.52,Regular,0.044202545,Baking Goods,182.995,OUT018,2009,Medium,Tier 3,Supermarket Type2,4394.28,4,FD,0.6296778656840513,3,1
FDI53,8.895,Regular,0.137858955,Frozen Foods,162.1236,OUT049,1999,Medium,Tier 1,Supermarket Type1,2577.9776,14,FD,1.9638401487930992,1,1
FDW02,4.805,Regular,0.037668051,Dairy,126.7704,OUT013,1987,High,Tier 3,Supermarket Type1,2628.5784,26,FD,0.5365921341895131,3,0
FDL20,17.1,Low Fat,0.224837308,Fruits and Vegetables,112.7886,OUT019,1985,Small,Tier 1,Grocery Store,222.3772,28,FD,3.2028716045102756,1,0
FDV32,7.785,Low Fat,0.089069748,Fruits and Vegetables,62.751,OUT018,2009,Medium,Tier 3,Supermarket Type2,1707.777,4,FD,1.2688239742226672,3,0
FDG38,8.975,Regular,0.053027398,Canned,86.0224,OUT017,2007,Small,Tier 2,Supermarket Type1,1278.336,6,FD,0.7553904146337892,2,0
NCB31,6.235,Low Fat,0.118099673,Household,262.891,OUT027,1985,Medium,Tier 3,Supermarket Type3,5522.811,28,NC,1.6823635388556104,3,1
FDF52,9.3,Low Fat,0.066887123,Frozen Foods,182.9292,OUT017,2007,Small,Tier 2,Supermarket Type1,4013.4424,6,FD,0.9528261518061147,2,1
FDB15,10.895,Low Fat,0.137023446,Dairy,263.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,7646.0472,14,FD,1.9519380846952101,1,1
FDO48,15.0,Regular,0.026950104,Baking Goods,220.9456,OUT018,2009,Medium,Tier 3,Supermarket Type2,1768.3648,4,FD,0.3839119210598216,3,1
NCR53,12.15,Low Fat,0.145013434,Health and Hygiene,224.4404,OUT018,2009,Medium,Tier 3,Supermarket Type2,5626.01,4,NC,2.06575774351081,3,1
FDF56,16.7,Regular,0.119362812,Fruits and Vegetables,180.3976,OUT013,1987,High,Tier 3,Supermarket Type1,3078.6592,26,FD,1.700357314317686,3,1
FDL57,15.1,Regular,0.067350054,Snack Foods,257.3304,OUT018,2009,Medium,Tier 3,Supermarket Type2,3874.956,4,FD,0.9594207359876133,3,1
NCC31,8.02,Low Fat,0.019884030499999997,Household,157.7972,OUT013,1987,High,Tier 3,Supermarket Type1,1713.7692,26,NC,0.28325368791404604,3,1
FDE33,19.35,Regular,0.049712775,Fruits and Vegetables,78.2644,OUT049,1999,Medium,Tier 1,Supermarket Type1,1492.7236,14,FD,0.7081726642488901,1,0
FDV52,20.7,Regular,0.122208091,Frozen Foods,119.7466,OUT017,2007,Small,Tier 2,Supermarket Type1,4006.7844,6,FD,1.7408891255062873,2,0
FDR46,16.85,Low Fat,0.138742518,Snack Foods,147.476,OUT027,1985,Medium,Tier 3,Supermarket Type3,3368.948,28,FD,1.9764267558320694,3,1
DRE12,4.59,Low Fat,0.070780558,Soft Drinks,114.586,OUT046,1997,Small,Tier 1,Supermarket Type1,1245.046,16,DR,1.0082892442814366,1,0
FDD57,18.1,Low Fat,0.037492325,Fruits and Vegetables,95.5094,OUT010,1998,Small,Tier 3,Grocery Store,95.2094,15,FD,0.5340888671802222,3,0
NCS41,12.85,Low Fat,0.053527105,Health and Hygiene,185.1608,OUT049,1999,Medium,Tier 1,Supermarket Type1,2388.8904,14,NC,0.7625088834284566,1,1
NCY41,16.75,Low Fat,0.076164013,Health and Hygiene,34.0532,OUT017,2007,Small,Tier 2,Supermarket Type1,575.2512,6,NC,1.084978096799004,2,0
FDV22,14.85,Regular,0.009995002,Snack Foods,154.463,OUT017,2007,Small,Tier 2,Supermarket Type1,3755.112,6,FD,0.14238165532929886,2,1
FDF12,8.235,Low Fat,0.08259502,Baking Goods,149.1076,OUT045,2002,Small,Tier 2,Supermarket Type1,1182.4608,11,FD,1.176589626450955,2,1
FDM13,6.425,Low Fat,0.063122753,Breakfast,131.3626,OUT013,1987,High,Tier 3,Supermarket Type1,262.3252,26,FD,0.899201627081462,3,0
FDQ56,6.59,Low Fat,0.105597316,Fruits and Vegetables,83.4908,OUT046,1997,Small,Tier 1,Supermarket Type1,1342.2528,16,FD,1.5042638961363946,1,0
FDW55,12.6,Regular,0.021863506,Fruits and Vegetables,247.0092,OUT027,1985,Medium,Tier 3,Supermarket Type3,5478.2024,28,FD,0.31145188120843376,3,1
NCT29,12.6,Low Fat,0.063800266,Health and Hygiene,123.0414,OUT027,1985,Medium,Tier 3,Supermarket Type3,4629.9732,28,NC,0.9088529930788993,3,0
NCX42,6.36,Low Fat,0.006012413,Household,163.0526,OUT017,2007,Small,Tier 2,Supermarket Type1,1644.526,6,NC,0.08564853868597484,2,1
FDR24,17.35,Regular,0.063207198,Baking Goods,89.383,OUT017,2007,Small,Tier 2,Supermarket Type1,1258.362,6,FD,0.9004045702008614,2,0
NCS42,8.6,Low Fat,0.069809115,Household,90.5146,OUT017,2007,Small,Tier 2,Supermarket Type1,729.7168,6,NC,0.9944507615679705,2,0
FDL40,17.7,Low Fat,0.011660463,Frozen Foods,96.541,OUT018,2009,Medium,Tier 3,Supermarket Type2,2220.443,4,FD,0.166106622474517,3,0
FDD47,7.6,Regular,0.142410775,Starchy Foods,171.9448,OUT046,1997,Small,Tier 1,Supermarket Type1,3749.7856,16,FD,2.0286821234481325,1,1
DRE03,19.6,Low Fat,0.024226902,Dairy,48.7718,OUT046,1997,Small,Tier 1,Supermarket Type1,236.359,16,DR,0.34511913156802787,1,0
NCM18,13.0,Low Fat,0.082440705,Household,61.3194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2043.3402,28,NC,1.1743913652457905,3,0
FDF52,9.3,Low Fat,0.066918731,Frozen Foods,184.2292,OUT045,2002,Small,Tier 2,Supermarket Type1,1641.8628,11,FD,0.9532764167847156,2,1
NCG43,20.2,Low Fat,0.074390007,Household,91.4462,OUT045,2002,Small,Tier 2,Supermarket Type1,1943.4702,11,NC,1.059706875158017,2,0
FDE20,11.35,Regular,0.005530516,Fruits and Vegetables,171.179,OUT046,1997,Small,Tier 1,Supermarket Type1,4923.591,16,FD,0.07878377842297307,1,1
FDI33,16.5,Low Fat,0.028579565,Snack Foods,90.3146,OUT017,2007,Small,Tier 2,Supermarket Type1,2554.0088,6,FD,0.40712405793328443,2,0
NCT06,17.1,Low Fat,0.038705317,Household,165.0842,OUT013,1987,High,Tier 3,Supermarket Type1,2320.9788,26,NC,0.551368284319028,3,1
FDY24,4.88,Regular,0.133700752,Baking Goods,53.1298,OUT035,2004,Small,Tier 2,Supermarket Type1,808.947,9,FD,1.904605360612441,2,0
FDZ33,10.195,Low Fat,0.108004532,Snack Foods,148.7076,OUT017,2007,Small,Tier 2,Supermarket Type1,1330.2684,6,FD,1.5385553748989975,2,1
FDJ55,12.8,Regular,0.023626808,Meat,223.2404,OUT018,2009,Medium,Tier 3,Supermarket Type2,2475.4444,4,FD,0.3365706213152855,3,1
FDE45,12.1,Low Fat,0.070660449,Fruits and Vegetables,180.4002,OUT019,1985,Small,Tier 1,Grocery Store,716.4008,28,FD,1.0065782573061517,1,1
FDD44,8.05,Regular,0.078719835,Fruits and Vegetables,258.5646,OUT018,2009,Medium,Tier 3,Supermarket Type2,3091.9752,4,FD,1.1213865104328422,3,1
FDD10,20.6,Regular,0.046208155,Snack Foods,178.0344,OUT018,2009,Medium,Tier 3,Supermarket Type2,1605.9096,4,FD,0.6582483523878052,3,1
FDA39,6.32,Low Fat,0.012769753,Meat,39.9822,OUT018,2009,Medium,Tier 3,Supermarket Type2,78.5644,4,FD,0.1819087750343902,3,0
FDB36,5.465,Regular,0.048486801,Baking Goods,131.2626,OUT013,1987,High,Tier 3,Supermarket Type1,3410.2276,26,FD,0.6907083148159755,3,0
FDK52,18.25,Low Fat,0.132596101,Frozen Foods,226.2062,OUT010,1998,Small,Tier 3,Grocery Store,677.1186,15,FD,1.8888692919311973,3,1
FDJ36,14.5,Regular,0.128459481,Baking Goods,102.0332,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050.664,14,FD,1.8299419597437414,1,0
NCB55,15.7,Low Fat,0.161317495,Household,57.5562,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.5868,4,NC,2.298013744437059,3,0
NCK18,9.6,Low Fat,0.011211251,Household,166.9184,OUT010,1998,Small,Tier 3,Grocery Store,660.4736,15,NC,0.15970746936241306,3,1
FDX27,20.7,Regular,0.114294512,Dairy,94.9436,OUT049,1999,Medium,Tier 1,Supermarket Type1,1229.0668,14,FD,1.628157934697203,1,0
FDB08,6.055,Low Fat,0.031103357,Fruits and Vegetables,159.9578,OUT046,1997,Small,Tier 1,Supermarket Type1,2727.7826,16,FD,0.4430761950781136,1,1
FDX43,5.655,Low Fat,0.085274988,Fruits and Vegetables,165.05,OUT046,1997,Small,Tier 1,Supermarket Type1,2330.3,16,FD,1.214766535276941,1,1
FDA20,6.78,Low Fat,0.066892471,Fruits and Vegetables,186.424,OUT018,2009,Medium,Tier 3,Supermarket Type2,1304.968,4,FD,0.9529023355920409,3,1
FDC04,15.6,Low Fat,0.078764059,Dairy,241.3854,OUT019,1985,Small,Tier 1,Grocery Store,483.3708,28,FD,1.1220164939311228,1,1
FDG17,6.865,Regular,0.036042939,Frozen Foods,244.4486,OUT017,2007,Small,Tier 2,Supermarket Type1,4153.9262,6,FD,0.5134419500619354,2,1
FDU58,6.61,Regular,0.04855968,Snack Foods,188.4898,OUT010,1998,Small,Tier 3,Grocery Store,187.0898,15,FD,0.691746496965288,3,1
FDP24,20.6,Low Fat,0.082602127,Baking Goods,120.9756,OUT027,1985,Medium,Tier 3,Supermarket Type3,3877.6192,28,FD,1.1766908676937706,3,0
NCT29,12.6,Low Fat,0.064240743,Health and Hygiene,121.9414,OUT045,2002,Small,Tier 2,Supermarket Type1,1462.0968,11,NC,0.9151277136236761,2,0
FDB08,6.055,Low Fat,0.031230059,Fruits and Vegetables,160.3578,OUT018,2009,Medium,Tier 3,Supermarket Type2,1765.0358,4,FD,0.4448811012195564,3,1
NCB43,20.2,Low Fat,0.100114941,Household,188.3898,OUT045,2002,Small,Tier 2,Supermarket Type1,3554.7062,11,NC,1.4261658999943263,2,1
FDL09,19.6,Regular,0.22417463,Snack Foods,168.8816,OUT019,1985,Small,Tier 1,Grocery Store,167.7816,28,FD,3.1934315673206575,1,1
DRK49,14.15,Low Fat,0.035943717,Soft Drinks,40.5138,OUT046,1997,Small,Tier 1,Supermarket Type1,446.7518,16,DR,0.5120285043612658,1,0
FDR37,16.5,Regular,0.06619442,Breakfast,184.4292,OUT013,1987,High,Tier 3,Supermarket Type1,3101.2964,26,FD,0.9429583999245671,3,1
FDG56,13.3,Regular,0.071439051,Fruits and Vegetables,61.0536,OUT035,2004,Small,Tier 2,Supermarket Type1,1898.8616,9,FD,1.0176696649519634,2,0
FDE34,9.195,Low Fat,0.108059141,Snack Foods,181.7634,OUT049,1999,Medium,Tier 1,Supermarket Type1,6179.9556,14,FD,1.5393332956853942,1,1
FDE16,8.895,Low Fat,0.026216144,Frozen Foods,207.5954,OUT027,1985,Medium,Tier 3,Supermarket Type3,6668.6528,28,FD,0.37345645144155715,3,1
FDT58,9.0,Low Fat,0.085938463,Snack Foods,168.6816,OUT035,2004,Small,Tier 2,Supermarket Type1,1342.2528,9,FD,1.2242179259589647,2,1
FDR03,15.7,Regular,0.008734284,Meat,207.898,OUT035,2004,Small,Tier 2,Supermarket Type1,3095.97,9,FD,0.12442236770299894,2,1
NCL30,18.1,Low Fat,0.049016517,Household,128.7336,OUT049,1999,Medium,Tier 1,Supermarket Type1,2173.1712,14,NC,0.6982542703780068,1,0
FDT22,10.395,Low Fat,0.111554381,Snack Foods,59.822,OUT027,1985,Medium,Tier 3,Supermarket Type3,1677.816,28,FD,1.5891239867701163,3,0
FDP45,15.7,Regular,0.030672457,Snack Foods,253.1724,OUT049,1999,Medium,Tier 1,Supermarket Type1,5285.1204,14,FD,0.4369379016309092,1,1
FDS15,9.195,Regular,0.077995641,Meat,107.1596,OUT013,1987,High,Tier 3,Supermarket Type1,2804.3496,26,FD,1.1110701602710766,3,0
FDF16,7.3,Low Fat,0.085715273,Frozen Foods,146.6076,OUT027,1985,Medium,Tier 3,Supermarket Type3,1773.6912,28,FD,1.221038520726935,3,1
FDL13,13.85,Regular,0.056432784,Breakfast,234.93,OUT045,2002,Small,Tier 2,Supermarket Type1,4660.6,11,FD,0.8039011098507807,2,1
NCV30,20.2,Low Fat,0.066200667,Household,61.451,OUT018,2009,Medium,Tier 3,Supermarket Type2,126.502,4,NC,0.943047390222002,3,0
FDG33,5.365,Regular,0.245542627,Seafood,172.2764,OUT019,1985,Small,Tier 1,Grocery Store,171.7764,28,FD,3.4978247814422243,1,1
FDO10,13.65,Regular,0.0127517,Snack Foods,55.5588,OUT046,1997,Small,Tier 1,Supermarket Type1,1603.2464,16,FD,0.18165160489839025,1,0
FDQ03,15.0,Regular,0.077949334,Meat,238.7248,OUT013,1987,High,Tier 3,Supermarket Type1,2133.2232,26,FD,1.1104105038434606,3,1
NCC55,10.695,Low Fat,0.064022881,Household,36.0848,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.848,4,NC,0.9120242072718663,3,0
FDD52,18.25,Regular,0.182407266,Dairy,109.157,OUT027,1985,Medium,Tier 3,Supermarket Type3,1867.569,28,FD,2.5984435498033656,3,0
FDI16,14.0,Regular,0.136328794,Frozen Foods,54.864,OUT018,2009,Medium,Tier 3,Supermarket Type2,319.584,4,FD,1.9420425687525613,3,0
