,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
51324,Technology,region_7,Below Secondary,m,sourcing,1,24,3.0,2,0,0,78
8026,Sales & Marketing,region_15,Bachelor's,f,other,1,35,3.0,7,0,0,49
31149,Finance,region_2,Bachelor's,m,sourcing,1,28,3.0,2,1,0,56
25630,Procurement,region_13,Bachelor's,m,other,2,40,3.0,6,0,0,70
35396,Sales & Marketing,region_26,Bachelor's,f,sourcing,3,25,3.0,3,0,0,46
50895,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,29,3.0,8,1,0,49
25137,Technology,region_22,Master's & above,m,other,1,38,4.0,10,1,0,76
22124,Technology,region_22,Bachelor's,f,other,1,28,3.0,4,0,0,81
33893,Procurement,region_2,Master's & above,m,other,1,37,5.0,5,1,0,71
51700,Technology,region_2,Bachelor's,m,sourcing,3,28,3.0,5,0,0,79
6632,Finance,region_26,Bachelor's,m,sourcing,2,28,4.0,2,0,0,62
42079,Procurement,region_22,Master's & above,m,other,1,30,3.0,4,1,0,70
52246,Sales & Marketing,region_31,Bachelor's,m,other,1,23,,1,0,0,52
41631,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,35,3.0,2,0,0,48
33841,Technology,region_26,Bachelor's,m,other,1,40,3.0,7,0,0,81
25194,Sales & Marketing,region_25,Bachelor's,m,sourcing,1,32,3.0,7,1,0,47
5292,Procurement,region_23,Bachelor's,m,other,1,33,5.0,8,1,0,71
22571,Operations,region_26,Master's & above,f,other,1,41,3.0,6,0,1,91
25197,Finance,region_32,Bachelor's,m,other,3,28,2.0,2,0,0,55
50774,Procurement,region_13,Bachelor's,f,other,2,33,3.0,3,0,0,68
47888,HR,region_28,Bachelor's,f,sourcing,1,27,3.0,2,1,0,50
39434,Finance,region_2,Bachelor's,f,other,1,46,4.0,16,0,0,56
4448,Finance,region_2,Bachelor's,m,sourcing,2,24,3.0,2,0,0,60
30364,Technology,region_23,Bachelor's,m,other,2,27,,1,0,0,76
39919,Finance,region_2,Master's & above,m,sourcing,2,36,5.0,4,1,0,58
40400,Procurement,region_15,Bachelor's,m,other,1,50,3.0,16,0,0,70
5163,Finance,region_2,Bachelor's,m,sourcing,1,39,4.0,2,0,0,62
3450,Operations,region_32,Bachelor's,f,other,1,40,4.0,5,0,0,61
38159,Analytics,region_22,Master's & above,m,other,1,39,3.0,3,0,0,87
8489,HR,region_17,Bachelor's,m,other,1,28,,1,0,0,52
19670,Legal,region_2,Bachelor's,m,sourcing,1,29,3.0,2,0,0,61
26341,Sales & Marketing,region_32,Bachelor's,m,other,1,43,5.0,4,1,0,43
12889,Operations,region_13,Bachelor's,m,other,1,32,2.0,7,1,0,59
11152,Technology,region_15,Bachelor's,m,sourcing,1,38,5.0,7,1,0,79
44978,Technology,region_2,Below Secondary,f,sourcing,1,21,3.0,2,0,0,76
3368,Operations,region_2,Bachelor's,f,other,1,49,4.0,3,1,0,59
28752,Technology,region_11,Bachelor's,m,other,1,28,3.0,6,0,0,79
6244,Sales & Marketing,region_4,Master's & above,m,sourcing,1,38,3.0,13,0,0,48
21106,Procurement,region_11,Bachelor's,m,other,3,43,3.0,16,0,0,70
24639,Sales & Marketing,region_14,Bachelor's,m,other,1,32,4.0,6,0,0,50
3023,Sales & Marketing,region_2,,m,referred,1,25,5.0,2,0,0,46
42696,Analytics,region_22,Bachelor's,m,sourcing,3,30,5.0,6,1,0,79
3279,Sales & Marketing,region_22,Bachelor's,m,other,1,29,2.0,6,0,0,46
11549,Operations,region_27,Bachelor's,f,sourcing,1,34,5.0,2,0,0,58
34407,Operations,region_22,Master's & above,m,other,1,56,5.0,29,1,0,61
44995,R&D,region_4,Master's & above,m,sourcing,1,34,3.0,5,0,0,84
20673,Procurement,region_2,Bachelor's,m,other,1,48,3.0,18,0,1,67
17898,Operations,region_15,Bachelor's,f,sourcing,1,39,5.0,10,1,0,61
15312,Procurement,region_2,Bachelor's,f,sourcing,2,35,2.0,8,0,0,69
19799,Analytics,region_17,Bachelor's,m,sourcing,1,30,4.0,3,0,0,85
34094,Procurement,region_24,Bachelor's,f,other,1,27,2.0,2,0,0,63
48115,Finance,region_22,Bachelor's,m,other,1,36,3.0,4,1,0,61
30575,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,25,1.0,3,0,0,47
34834,Sales & Marketing,region_25,Master's & above,m,other,1,34,5.0,7,1,0,46
14109,Sales & Marketing,region_32,Bachelor's,m,sourcing,2,34,1.0,6,0,0,51
15677,Technology,region_31,Bachelor's,m,sourcing,3,39,3.0,5,0,0,87
15949,Technology,region_2,Bachelor's,f,sourcing,1,36,4.0,8,0,0,86
35899,Finance,region_15,Bachelor's,m,sourcing,1,30,3.0,3,1,0,58
24234,Sales & Marketing,region_25,Master's & above,m,sourcing,1,33,3.0,4,0,0,49
3987,Technology,region_5,Bachelor's,f,other,1,31,3.0,6,0,0,82
9060,Operations,region_27,Bachelor's,f,other,1,38,4.0,9,1,0,58
31574,R&D,region_11,Master's & above,m,sourcing,2,27,3.0,5,0,0,83
14333,Operations,region_22,Bachelor's,m,other,1,33,5.0,6,1,0,61
37737,Analytics,region_7,Bachelor's,m,sourcing,1,38,3.0,3,0,0,89
49245,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,39,3.0,12,0,0,50
45788,Technology,region_2,Master's & above,m,other,1,41,4.0,4,0,0,77
7155,Sales & Marketing,region_11,Master's & above,m,sourcing,1,37,4.0,4,1,1,52
26953,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,34,5.0,3,1,0,53
3227,Analytics,region_26,Bachelor's,m,sourcing,1,31,5.0,4,1,0,84
35601,Sales & Marketing,region_2,,m,sourcing,1,23,4.0,2,1,1,49
50489,Sales & Marketing,region_26,Bachelor's,m,other,1,29,3.0,3,1,0,48
29155,Analytics,region_22,Bachelor's,f,other,1,26,4.0,2,0,0,84
17432,Technology,region_15,Bachelor's,f,sourcing,1,35,3.0,5,1,0,76
20083,Technology,region_5,Bachelor's,m,sourcing,2,41,1.0,10,0,0,77
18400,Procurement,region_22,Bachelor's,m,other,2,28,5.0,5,1,0,67
37246,Procurement,region_13,Bachelor's,f,other,1,29,3.0,2,1,0,69
51186,Sales & Marketing,region_30,Bachelor's,m,other,2,32,1.0,4,1,0,49
31686,Analytics,region_11,Bachelor's,m,other,1,33,3.0,7,0,0,81
13515,Analytics,region_2,Bachelor's,m,other,4,40,5.0,5,1,0,88
790,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,1.0,6,1,0,47
4212,Sales & Marketing,region_14,Master's & above,m,other,1,45,1.0,14,0,0,49
42694,Sales & Marketing,region_6,Bachelor's,f,other,1,38,1.0,4,0,0,48
4288,Technology,region_22,Bachelor's,m,sourcing,1,27,4.0,5,0,0,82
50742,HR,region_2,Bachelor's,f,other,1,55,4.0,25,0,0,51
51874,Technology,region_13,Bachelor's,f,sourcing,1,51,4.0,24,0,0,85
42994,Technology,region_26,Bachelor's,m,sourcing,1,49,3.0,3,1,0,79
2419,Sales & Marketing,region_20,Bachelor's,m,other,2,35,3.0,3,0,0,41
51904,Operations,region_2,,f,other,1,32,5.0,5,1,0,60
16159,Sales & Marketing,region_2,Bachelor's,f,other,1,60,3.0,34,0,0,46
45616,Sales & Marketing,region_24,Bachelor's,m,other,1,37,3.0,9,0,0,46
51580,Technology,region_25,Master's & above,f,sourcing,1,34,1.0,5,0,0,78
16713,Technology,region_33,Bachelor's,m,other,1,30,1.0,2,0,0,80
16132,Sales & Marketing,region_2,Master's & above,m,other,1,40,5.0,5,0,0,49
45739,Procurement,region_2,Master's & above,m,other,1,35,3.0,7,0,0,71
7426,HR,region_22,Bachelor's,m,other,1,25,5.0,2,0,0,52
9586,Sales & Marketing,region_2,,f,other,1,53,3.0,22,0,0,47
23281,Analytics,region_31,Bachelor's,m,sourcing,1,28,4.0,2,0,0,82
50804,Technology,region_5,Bachelor's,m,other,1,35,4.0,8,1,0,81
32671,Procurement,region_7,Bachelor's,m,other,1,29,5.0,1,1,0,70
36100,Technology,region_19,Bachelor's,m,other,1,44,1.0,11,0,0,78
42958,Sales & Marketing,region_13,Bachelor's,m,other,1,32,2.0,7,0,1,97
17299,Operations,region_32,Bachelor's,m,sourcing,1,35,4.0,8,1,0,62
1694,Sales & Marketing,region_12,Bachelor's,f,other,1,28,2.0,2,0,0,44
38702,Procurement,region_24,Master's & above,m,other,1,39,5.0,13,1,0,73
5133,Operations,region_6,Bachelor's,m,sourcing,1,35,3.0,7,0,0,57
39430,Technology,region_8,Bachelor's,m,sourcing,2,29,4.0,6,0,0,78
48159,Analytics,region_19,Bachelor's,m,other,1,33,3.0,7,0,0,87
51907,Sales & Marketing,region_14,Bachelor's,m,sourcing,3,25,1.0,2,0,0,48
13089,Technology,region_13,Bachelor's,m,sourcing,2,32,3.0,5,0,0,78
40896,Operations,region_15,Master's & above,f,other,1,41,1.0,9,1,0,59
39821,Sales & Marketing,region_7,Bachelor's,m,other,1,50,1.0,15,0,0,51
26095,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,34,2.0,7,0,0,51
7556,Operations,region_15,Bachelor's,m,other,2,36,5.0,10,0,0,65
36156,Operations,region_2,Master's & above,m,other,1,60,4.0,18,1,0,61
14608,Operations,region_32,Bachelor's,m,sourcing,1,32,5.0,7,1,0,58
17789,Sales & Marketing,region_15,Bachelor's,f,other,1,26,3.0,2,1,0,48
4672,Sales & Marketing,region_19,Bachelor's,m,other,1,34,5.0,7,0,0,51
18853,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,31,3.0,2,0,0,51
16082,Sales & Marketing,region_8,Bachelor's,m,other,1,27,3.0,4,1,0,50
25208,Sales & Marketing,region_15,Bachelor's,m,sourcing,3,30,4.0,4,1,0,51
70,Operations,region_22,Bachelor's,f,other,1,50,5.0,5,1,0,59
28668,Finance,region_26,Bachelor's,m,other,1,37,3.0,4,0,0,57
4565,Legal,region_2,Master's & above,m,sourcing,1,37,3.0,8,0,0,61
52297,Technology,region_22,Bachelor's,m,other,1,37,2.0,7,0,0,80
34883,Technology,region_20,Master's & above,f,other,1,31,3.0,8,0,0,81
29339,Analytics,region_14,Bachelor's,m,other,1,31,5.0,3,1,0,84
45536,Technology,region_2,Bachelor's,f,referred,1,24,3.0,1,0,0,81
42979,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,35,1.0,10,0,0,46
12775,HR,region_2,Master's & above,m,other,2,47,5.0,7,0,0,52
51527,Operations,region_2,Bachelor's,f,other,1,54,1.0,8,0,0,60
31761,Procurement,region_13,Bachelor's,f,sourcing,1,52,4.0,18,0,0,69
18649,Operations,region_22,Master's & above,m,sourcing,1,30,3.0,7,0,0,63
6362,Technology,region_6,Below Secondary,m,other,1,24,3.0,2,0,0,82
50958,HR,region_2,,m,other,1,41,1.0,13,0,0,52
30832,Operations,region_2,Master's & above,m,other,2,43,5.0,5,1,0,59
42218,Sales & Marketing,region_2,Master's & above,m,other,4,34,3.0,9,0,0,48
46314,Operations,region_15,Bachelor's,m,other,1,32,3.0,6,0,0,58
28793,Sales & Marketing,region_28,,m,other,1,35,3.0,4,0,0,52
24276,Procurement,region_23,Master's & above,f,sourcing,1,34,3.0,9,1,0,68
26082,Technology,region_2,Master's & above,f,sourcing,1,42,4.0,3,1,0,77
7133,HR,region_7,Bachelor's,f,sourcing,1,34,2.0,8,0,0,51
2474,Finance,region_2,Bachelor's,f,sourcing,1,45,3.0,3,0,0,55
29331,Sales & Marketing,region_13,Bachelor's,m,other,1,44,4.0,7,0,0,54
16796,Technology,region_26,Bachelor's,f,sourcing,2,26,5.0,3,1,0,78
33055,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,30,1.0,8,0,0,55
41660,Sales & Marketing,region_2,Bachelor's,m,other,3,41,2.0,4,1,0,47
6492,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,42,3.0,5,0,0,49
28463,Sales & Marketing,region_7,Bachelor's,m,other,2,31,1.0,4,0,0,48
4424,Analytics,region_7,Master's & above,m,other,2,46,3.0,7,0,0,86
12985,Procurement,region_28,Master's & above,f,other,1,32,5.0,2,1,0,68
15860,Procurement,region_12,Bachelor's,m,other,1,33,4.0,5,0,0,69
9765,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,25,4.0,2,0,0,44
47774,Technology,region_13,Bachelor's,m,other,1,30,1.0,3,0,0,83
26040,Finance,region_7,Master's & above,m,sourcing,2,42,3.0,2,0,0,58
40556,Procurement,region_22,Bachelor's,m,sourcing,4,27,,1,1,0,68
24118,Analytics,region_28,Bachelor's,m,other,2,35,3.0,4,0,0,87
9497,Sales & Marketing,region_12,Bachelor's,m,sourcing,1,34,3.0,7,0,0,46
31092,Sales & Marketing,region_25,Master's & above,m,other,1,33,5.0,4,0,0,91
23041,Sales & Marketing,region_14,Bachelor's,m,other,1,25,4.0,3,0,0,47
23096,Technology,region_19,Bachelor's,m,other,2,32,4.0,7,1,0,81
22191,Technology,region_16,Bachelor's,m,other,1,33,3.0,7,1,0,79
11838,Finance,region_26,Bachelor's,f,other,1,29,5.0,2,1,0,56
31097,Technology,region_2,Master's & above,m,other,1,47,4.0,18,0,0,78
2934,Sales & Marketing,region_13,Bachelor's,m,other,1,29,3.0,2,1,0,47
32801,Operations,region_26,Bachelor's,m,sourcing,1,31,4.0,5,0,0,57
35703,Analytics,region_22,Bachelor's,m,other,2,26,3.0,3,0,0,86
35889,Operations,region_29,Bachelor's,f,sourcing,1,27,4.0,4,1,0,61
38696,Analytics,region_22,Bachelor's,m,other,1,30,3.0,6,1,0,83
47291,Operations,region_34,Bachelor's,f,other,1,28,1.0,5,0,0,58
29050,Operations,region_22,Master's & above,m,other,1,39,3.0,11,1,0,59
11537,Analytics,region_20,Bachelor's,m,sourcing,1,29,3.0,3,0,0,88
3637,Procurement,region_2,Bachelor's,f,other,1,46,4.0,17,0,0,67
47450,Technology,region_16,Bachelor's,f,other,1,31,3.0,6,0,0,83
33155,Analytics,region_22,Bachelor's,m,sourcing,1,34,5.0,8,0,0,81
3210,Operations,region_4,Master's & above,m,sourcing,1,42,3.0,5,0,0,65
28455,Finance,region_22,Bachelor's,m,sourcing,3,27,3.0,5,0,0,60
40104,Operations,region_2,Master's & above,m,sourcing,1,40,3.0,3,1,0,58
28849,HR,region_2,Bachelor's,m,sourcing,1,52,4.0,5,0,0,51
23193,Technology,region_10,Master's & above,m,other,1,30,4.0,4,0,0,82
45596,Technology,region_2,Master's & above,m,other,1,57,2.0,7,0,0,74
48753,R&D,region_22,Bachelor's,m,sourcing,1,41,5.0,10,1,0,86
22297,Sales & Marketing,region_7,Master's & above,m,other,1,43,1.0,5,0,0,52
49866,Operations,region_11,Master's & above,m,other,1,44,3.0,4,0,0,60
40521,Sales & Marketing,region_31,Bachelor's,m,sourcing,3,29,1.0,2,1,0,50
38903,Procurement,region_30,Bachelor's,m,sourcing,2,29,3.0,5,0,0,68
43848,Analytics,region_29,Bachelor's,m,referred,1,27,5.0,2,1,0,83
52556,Technology,region_7,Bachelor's,f,other,2,28,,1,1,0,80
4899,Sales & Marketing,region_13,Bachelor's,f,other,1,29,3.0,8,0,0,53
23304,Procurement,region_22,Below Secondary,m,other,3,24,3.0,2,0,0,75
26607,Procurement,region_17,Bachelor's,m,other,2,30,3.0,3,0,0,70
38757,Finance,region_2,Bachelor's,m,other,1,57,5.0,24,0,0,60
20320,R&D,region_22,Master's & above,m,referred,1,30,5.0,4,1,0,86
35034,Operations,region_2,Bachelor's,f,other,1,43,4.0,4,1,0,64
51395,Sales & Marketing,region_22,Bachelor's,m,other,3,32,1.0,8,0,0,53
17528,Sales & Marketing,region_2,Master's & above,m,sourcing,1,56,1.0,17,0,0,46
53566,Operations,region_22,Bachelor's,f,sourcing,1,33,3.0,7,1,0,57
52373,Sales & Marketing,region_28,Bachelor's,m,other,1,34,3.0,2,1,0,48
54531,Sales & Marketing,region_30,Bachelor's,m,other,1,25,4.0,2,0,0,50
45610,Technology,region_2,Master's & above,f,other,1,46,5.0,7,1,1,73
4235,Operations,region_2,Bachelor's,f,sourcing,1,57,5.0,16,1,0,62
34839,Procurement,region_17,Bachelor's,f,other,1,28,5.0,4,1,0,66
53295,Finance,region_22,Master's & above,m,sourcing,2,31,3.0,5,0,0,58
39102,Operations,region_8,Bachelor's,m,other,1,27,,1,1,0,63
51113,Sales & Marketing,region_13,,m,sourcing,1,42,3.0,7,0,0,54
2006,Operations,region_15,Bachelor's,m,sourcing,1,32,3.0,7,1,0,61
48876,Procurement,region_26,Bachelor's,m,sourcing,3,30,3.0,6,0,0,71
49449,Sales & Marketing,region_4,Master's & above,m,other,1,38,3.0,4,1,1,51
3087,Operations,region_7,Bachelor's,f,other,1,37,4.0,9,1,0,55
46830,Procurement,region_8,Bachelor's,m,other,1,29,3.0,5,0,0,68
33248,Operations,region_22,Bachelor's,m,sourcing,2,29,3.0,2,0,0,59
53679,Operations,region_2,Bachelor's,f,other,1,44,4.0,12,0,0,62
25080,Procurement,region_13,Master's & above,f,other,1,35,4.0,3,0,0,68
7636,Sales & Marketing,region_15,Bachelor's,m,other,3,23,,1,0,0,50
30712,Sales & Marketing,region_25,Master's & above,m,other,2,36,3.0,5,0,0,53
15763,Sales & Marketing,region_16,Bachelor's,f,other,1,29,,1,0,0,51
24999,Operations,region_7,Bachelor's,f,other,1,25,,1,0,0,61
1875,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,38,4.0,6,0,0,50
5620,Finance,region_2,Below Secondary,m,other,1,23,1.0,2,0,0,61
31316,Operations,region_2,Bachelor's,m,sourcing,2,46,3.0,16,0,0,63
16209,Analytics,region_15,,m,other,2,37,4.0,7,1,0,89
15685,Procurement,region_2,Bachelor's,m,other,1,31,4.0,5,1,0,70
1882,Technology,region_23,Master's & above,m,other,1,43,3.0,10,0,0,81
9742,Operations,region_27,Master's & above,f,sourcing,1,34,4.0,7,1,0,62
13203,Legal,region_11,Bachelor's,m,other,1,32,3.0,5,1,0,60
43387,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,26,,1,1,0,47
21510,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,35,4.0,6,0,0,52
38457,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,36,3.0,5,0,0,50
54384,Operations,region_17,Master's & above,f,sourcing,1,39,2.0,8,0,0,57
4346,Analytics,region_11,Master's & above,m,sourcing,1,39,3.0,9,1,0,88
9969,Technology,region_2,Master's & above,m,other,1,52,4.0,16,1,0,81
1825,Analytics,region_28,Master's & above,m,sourcing,1,41,3.0,4,0,0,85
11183,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,38,5.0,10,1,0,51
5552,Sales & Marketing,region_5,Master's & above,m,sourcing,1,39,3.0,6,0,0,52
34682,Sales & Marketing,region_24,Bachelor's,m,other,1,41,3.0,14,0,0,56
47822,Sales & Marketing,region_23,Master's & above,f,other,1,32,1.0,3,0,0,50
4002,Operations,region_22,Bachelor's,m,sourcing,1,49,3.0,14,1,0,60
2831,Procurement,region_10,Bachelor's,f,other,1,34,3.0,10,0,0,70
39676,Procurement,region_31,Master's & above,m,other,1,36,5.0,9,1,0,69
7145,Technology,region_11,Bachelor's,m,other,1,32,1.0,7,1,1,82
39655,Operations,region_27,Bachelor's,f,sourcing,2,34,4.0,7,1,0,60
41881,Sales & Marketing,region_9,Bachelor's,m,other,1,28,,1,0,0,51
35322,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,34,5.0,9,1,0,51
54256,Operations,region_2,Bachelor's,f,other,1,29,4.0,2,1,0,56
3331,Technology,region_2,Below Secondary,m,referred,1,24,4.0,3,0,0,78
26140,Sales & Marketing,region_20,Bachelor's,m,other,1,38,5.0,7,0,0,45
5506,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,48,3.0,5,0,0,48
32943,Operations,region_27,Bachelor's,f,other,1,47,3.0,15,1,0,58
40237,Operations,region_16,Bachelor's,f,other,1,36,2.0,7,1,0,60
4734,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,59,4.0,27,0,0,52
53001,Sales & Marketing,region_14,Bachelor's,m,other,1,47,1.0,13,0,0,51
14008,Operations,region_2,Bachelor's,f,sourcing,1,41,3.0,12,1,0,58
43261,Technology,region_25,Bachelor's,f,other,1,27,,1,0,0,77
24689,Operations,region_22,Master's & above,m,other,2,33,5.0,3,1,0,62
20208,Sales & Marketing,region_17,Bachelor's,m,sourcing,1,28,4.0,4,1,0,48
14635,Finance,region_22,Bachelor's,m,other,2,24,,1,0,0,55
48388,Procurement,region_17,Master's & above,f,other,1,36,3.0,7,0,0,71
35623,Operations,region_2,Master's & above,m,sourcing,1,33,3.0,6,1,0,58
8886,Technology,region_7,Bachelor's,f,other,3,40,5.0,13,1,0,84
16949,Sales & Marketing,region_7,Bachelor's,m,other,2,32,1.0,5,0,0,47
44464,Legal,region_7,Bachelor's,m,sourcing,1,30,4.0,8,0,0,60
37282,Sales & Marketing,region_7,Master's & above,m,other,3,33,3.0,4,0,0,50
41100,HR,region_17,Bachelor's,f,sourcing,1,31,5.0,3,1,0,51
25481,Operations,region_15,Bachelor's,m,other,1,30,3.0,5,0,0,61
41274,Sales & Marketing,region_10,Bachelor's,m,sourcing,1,29,,1,1,0,48
3961,R&D,region_16,Master's & above,m,other,2,33,3.0,4,0,0,80
23690,Analytics,region_2,Master's & above,m,sourcing,1,35,3.0,8,0,0,83
19347,Sales & Marketing,region_34,Bachelor's,m,other,3,28,3.0,2,0,0,54
41395,R&D,region_2,Master's & above,f,other,1,31,4.0,6,1,0,86
39033,Operations,region_19,Bachelor's,f,other,2,32,2.0,5,0,0,64
10828,Analytics,region_28,Bachelor's,m,other,2,35,3.0,5,1,0,83
18295,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,49,3.0,2,0,0,54
6390,Procurement,region_7,Bachelor's,f,other,1,33,4.0,4,0,0,73
29189,Finance,region_2,Bachelor's,f,other,1,25,3.0,3,0,0,63
6720,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,34,3.0,4,0,0,50
39753,Technology,region_1,Master's & above,f,other,1,30,3.0,3,0,0,79
24357,Sales & Marketing,region_28,Master's & above,f,other,3,31,1.0,5,1,0,49
38156,Analytics,region_25,Bachelor's,m,sourcing,1,30,5.0,4,1,0,88
13532,Finance,region_2,Bachelor's,f,other,2,43,4.0,6,0,0,62
48295,Technology,region_2,Master's & above,m,other,1,49,4.0,6,1,0,78
3564,Sales & Marketing,region_15,Bachelor's,m,other,1,29,5.0,5,1,0,54
12283,Sales & Marketing,region_27,,m,sourcing,4,29,3.0,3,0,0,53
53768,Sales & Marketing,region_22,Bachelor's,f,sourcing,2,30,3.0,5,1,0,49
25132,Operations,region_16,Bachelor's,f,sourcing,1,31,4.0,2,0,0,64
15659,Analytics,region_29,Master's & above,m,sourcing,2,37,4.0,7,1,0,89
50143,Procurement,region_2,Bachelor's,m,sourcing,1,32,5.0,6,1,0,66
34641,Sales & Marketing,region_20,Master's & above,m,other,1,31,4.0,7,0,0,47
16370,Operations,region_2,Bachelor's,f,sourcing,1,51,1.0,22,0,0,61
19657,Sales & Marketing,region_4,Bachelor's,m,other,1,34,1.0,9,0,0,45
36980,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,44,3.0,14,0,0,47
17224,Procurement,region_17,Bachelor's,m,other,1,51,4.0,18,1,0,69
50582,Finance,region_21,Bachelor's,m,other,1,29,,1,0,0,61
17099,Operations,region_2,Bachelor's,m,other,1,50,5.0,15,1,0,58
36881,Technology,region_22,Bachelor's,m,other,2,26,,1,1,0,78
9985,Sales & Marketing,region_2,Master's & above,f,other,1,60,2.0,19,0,0,43
7705,R&D,region_31,Bachelor's,m,sourcing,1,33,4.0,5,0,0,88
49452,Sales & Marketing,region_2,Bachelor's,m,other,1,42,1.0,6,0,0,49
4863,Operations,region_8,Bachelor's,f,other,1,29,4.0,2,0,0,60
34000,Sales & Marketing,region_7,Master's & above,m,other,1,37,4.0,8,0,0,50
10796,Operations,region_2,Bachelor's,m,sourcing,1,30,5.0,2,1,0,58
17348,HR,region_22,Master's & above,m,other,1,42,3.0,12,0,0,46
6723,Sales & Marketing,region_7,,m,sourcing,3,25,3.0,1,0,0,45
48705,Operations,region_26,Bachelor's,m,sourcing,1,26,4.0,3,0,0,60
27899,Finance,region_22,Bachelor's,m,sourcing,1,30,,1,1,0,59
903,Sales & Marketing,region_25,,m,other,1,26,,1,0,0,51
30995,Procurement,region_16,Bachelor's,f,other,1,33,3.0,6,1,0,71
5176,Sales & Marketing,region_23,Bachelor's,f,sourcing,1,31,1.0,5,0,0,50
10955,Sales & Marketing,region_15,Master's & above,m,other,1,30,4.0,3,0,0,54
30010,Sales & Marketing,region_27,Bachelor's,m,other,1,29,1.0,1,0,1,47
11571,Sales & Marketing,region_2,Master's & above,f,other,1,39,3.0,7,0,0,48
20806,Analytics,region_31,Bachelor's,m,other,1,26,,1,1,0,85
33435,Sales & Marketing,region_19,Bachelor's,m,sourcing,3,38,1.0,10,0,0,54
23157,Operations,region_22,Bachelor's,m,sourcing,1,44,5.0,14,1,0,61
11933,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,3.0,7,0,0,49
41033,Operations,region_2,Bachelor's,f,other,1,44,3.0,3,1,0,57
35411,Operations,region_26,Master's & above,m,sourcing,1,32,4.0,7,0,0,57
16003,Operations,region_11,Bachelor's,f,sourcing,1,35,5.0,5,1,0,64
7296,Analytics,region_2,Bachelor's,m,other,1,32,3.0,5,0,0,82
54513,Operations,region_15,Bachelor's,m,other,1,37,5.0,3,1,0,56
20147,HR,region_2,Bachelor's,m,other,1,30,3.0,5,0,0,47
50503,Sales & Marketing,region_2,Bachelor's,m,other,1,39,5.0,10,0,0,48
32634,Procurement,region_2,Master's & above,m,other,1,33,1.0,6,1,0,72
51033,Sales & Marketing,region_27,Bachelor's,m,other,1,35,1.0,10,0,0,49
33909,Sales & Marketing,region_7,Master's & above,m,other,1,47,1.0,6,0,0,48
4117,Operations,region_11,Master's & above,m,other,1,44,5.0,8,0,0,59
27529,Operations,region_2,Master's & above,m,other,1,39,3.0,5,0,0,78
36769,Operations,region_22,Master's & above,m,sourcing,1,32,5.0,4,0,0,63
54617,Sales & Marketing,region_2,Master's & above,f,other,1,57,5.0,24,0,0,49
27513,HR,region_11,Bachelor's,m,other,1,31,5.0,4,1,0,49
14796,Operations,region_15,Bachelor's,m,other,1,50,1.0,7,0,0,55
21493,Sales & Marketing,region_4,Bachelor's,f,other,1,33,5.0,6,1,0,47
12080,Operations,region_2,Bachelor's,m,sourcing,1,40,1.0,8,0,0,59
23052,Operations,region_2,Bachelor's,f,sourcing,2,27,5.0,2,1,0,59
41142,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,31,2.0,7,0,0,46
42081,Sales & Marketing,region_2,Bachelor's,f,other,2,31,1.0,7,0,0,49
40876,Legal,region_17,Bachelor's,m,other,1,29,3.0,2,0,0,63
36516,Finance,region_6,Bachelor's,m,other,1,26,3.0,4,1,0,61
10924,Technology,region_7,Master's & above,f,sourcing,1,35,2.0,9,0,0,76
39949,Procurement,region_8,Bachelor's,f,sourcing,1,32,5.0,6,1,0,70
19124,Operations,region_22,Bachelor's,f,sourcing,2,33,3.0,3,1,0,57
211,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1.0,2,0,0,53
32840,Sales & Marketing,region_29,Bachelor's,m,sourcing,2,33,3.0,5,0,0,50
16335,Technology,region_27,Bachelor's,f,sourcing,1,26,4.0,3,1,0,84
37729,Finance,region_2,Bachelor's,m,sourcing,1,34,5.0,8,1,0,63
11994,Operations,region_24,Bachelor's,f,sourcing,1,30,2.0,6,0,0,57
